Author,Species,Plant_taxonomy,Plant_type,Longitude,Latitude,Elevation,Measurement_year,Vcmax_reported,Jmax_reported ,Vcmax_25C,Jmax_25C,Leaf_N ,Leaf_P,SLA,Needle_age,Treatment_CO2,Treatment_N,Treatment_P,Treatment_light,Treatment_other,Treatment_other_levels,Measurement_temperature,Photosynthetic_reference,Kinetic_reference,Km,Kc,Ko,Tau,Gamma_star,Wj_reference,J_reference,J_flag,Irradiance,Alpha,Theta,O2_reported,Notes
Turnbull et al 2007,Eucalyptus globulus,A,E,142.05,-37.03,470,not reported,35.58,123.80,79.29,160.87,1.67,0.19,09,not applicable,not applicable,not applicable,not applicable,not applicable,crown removal amount and timing afterwards,50% week 0,19,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,2000,0,0,0,
Carswell et al 2005,Weinmannia racemosa,A,E,170.30,-43.20,90,not reported,9.00,18.00,13.90,17.41,0,0,09,<1,not applicable,high,high,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Weinmannia racemosa,A,E,170.30,-43.20,90,not reported,9.00,19.00,13.90,18.32,0,0,09,<1,not applicable,low,low,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Weinmannia racemosa,A,E,170.30,-43.20,90,not reported,11.00,23.00,16.98,21.92,0,0,09,<1,not applicable,low,high,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Weinmannia racemosa,A,E,170.30,-43.20,90,not reported,21.00,49.00,32.42,43.77,0,0,09,<1,not applicable,high,low,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Dacrydium cupressinum,G,E,170.30,-43.20,90,not reported,24.00,58.00,35.98,48.53,0,0,09,<1,not applicable,high,low,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Prumnopitys ferruginea,G,E,170.30,-43.20,90,not reported,26.00,50.00,38.98,42.53,0,0,09,<1,not applicable,low,low,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Prumnopitys ferruginea,G,E,170.30,-43.20,90,not reported,27.00,58.00,40.48,48.53,0,0,09,<1,not applicable,low,high,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Dacrydium cupressinum,G,E,170.30,-43.20,90,not reported,28.00,70.00,41.98,57.28,0,0,09,<1,not applicable,low,low,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
Carswell et al 2005,Metrosideros umbellata,A,E,170.30,-43.20,90,not reported,32.00,65.00,49.41,56.21,0,0,09,<1,not applicable,low,high,not applicable,not applicable,not applicable,20,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,800,0,0,0,
