"crop_label","low","low_med","med_high","high","ex_high","arid_low","total","percent_high","footprint_m3ton"
"irrigated agriculture",58542312,29115784,43620976,55908332,114662040,3164084,305013528,0.56,2768.55
"all cropland",624119296,216455632,195334432,184482816,231106064,40963140,1492461380,0.28,4052.91
"cocoa",2743994.75,139840.5938,120662.3984,51971.88281,93205.38281,18811.11133,3168486119,0.05,19.928
"coffee",4811123.5,815577,323414125,376204.2188,298247.8125,23147.70117,6647714357,0.1,15.897
"cotton",11396177,3310106,7052969,6975705.5,22213440,709797.4375,51658194.94,0.57,4.029
"maize",190215344,122654848,72827264,115822584,95598016,1509725375,598627781.4,0.35,1.222
"oats",11548354,6154623,4262673.5,2153154.5,1258248875,930261.4375,26307315.31,0.13,1.788
"oil palm",94682240,10375515,5719637.5,677796125,5441521,612639.25,117509348.9,0.05,1.098
"oranges",16969934,14009386,8628444,8821814,10802772,490594875,59722944.88,0.33,560
"canola",11343875,8287348.5,6871523.5,3961452.25,5400958,369763.2188,36234920.47,0.26,2.271
"rice",235505488,87590352,89764752,83961216,84565368,861458.1875,582248634.2,0.29,1.673
"rubber",3860324.5,1247404,886456375,473972.5,537383875,66330.82031,7071872.07,0.14,13.748
"soybeans",80997272,34193200,17496738,21321608,10278772,223125.7188,164510715.7,0.19,2.145
"sugar cane",506825376,214108608,131524584,176563216,214476544,2578514.25,1246076842,0.31,210
"wheat",129715936,87710976,90095048,79733432,162401936,15899887,565557215,0.43,1.827
"cereals",656959872,349542624,302309088,317312192,375626880,25208236,2026958892,0.34,1.644
"fiber crops",14382901,3792289.75,7664254,7502836,22614674,730014125,56686968.88,0.53,3.837
"fodder crops",797058944,458602144,376894080,274997600,275327776,50392220,2233272764,0.25,254
"fruits",149114640,62414048,60538464,69648040,100093224,4383538.5,446191954.5,0.38,967
"oil crops",233457488,68936656,46489380,47969276,49005848,2667877,448526525,0.22,2.364
"legumes",20660396,6861956,7478120.5,8070913,8823574,1215228,53110187.5,0.32,4.055
"roots and tubers",299252576,97356032,71077768,66280332,102294416,5643021.5,641904145.5,0.26,387
"sugar crops",558289600,276423680,183658336,211718272,248010608,3542666.25,1481643162,0.31,197
"tree nuts",1448720625,592897.3125,1080765.75,1227104125,1986058625,75483.60156,6411030039,0.5,9.063
